parameter,mean,std,median,5.0%,95.0%,n_eff,r_hat,player_id,player_name
z_mu[38],0.26830846071243286,0.424384206533432,0.27610230445861816,-0.47433745861053467,0.8663950562477112,2132.361237213413,0.9987923502922058,00-0032134,C.J. Uzomah
z_mu[39],-0.5212631225585938,0.5001765489578247,-0.5378444194793701,-1.3704233169555664,0.24698108434677124,1574.324537280093,0.9981476068496704,00-0032135,Jesse James
z_mu[40],-0.5385490655899048,0.3587917387485504,-0.537388801574707,-1.1873501539230347,-0.027561841532588005,1594.152077071562,0.9995629191398621,00-0032141,Geoff Swaim
z_mu[41],0.017772117629647255,0.523074209690094,0.014323277398943901,-0.8283875584602356,0.8352586030960083,2330.6856399385715,0.9989297389984131,00-0032214,Tyler Kroft
z_mu[42],0.31623923778533936,0.3423464596271515,0.31129544973373413,-0.2862405776977539,0.8442589044570923,1939.4319376446647,0.9987455606460571,00-0032392,Austin Hooper
z_mu[43],-0.3355066478252411,0.372142493724823,-0.34659498929977417,-0.8953062891960144,0.30130818486213684,2174.16076345621,0.9992393851280212,00-0032394,Nick Vannett
z_mu[44],-0.6073728799819946,0.453432559967041,-0.6170737743377686,-1.3238366842269897,0.14419926702976227,1550.7993851060849,0.9992976188659668,00-0032725,Stephen Anderson
z_mu[45],-0.45108693838119507,0.9822465181350708,-0.44990867376327515,-2.1188440322875977,1.0671435594558716,2573.4718446201937,0.9988729357719421,00-0032986,J.P. Holtz
z_mu[46],-0.43320176005363464,1.0123624801635742,-0.4403166174888611,-2.116100311279297,1.1407060623168945,2251.0203158107593,0.9993108510971069,00-0033080,Seth DeValve
z_mu[47],1.389436960220337,0.46408864855766296,1.3852322101593018,0.5585358142852783,2.092404365539551,1884.7325414483475,0.9988198280334473,00-0033090,Hunter Henry
z_mu[48],-0.10748490691184998,0.8536376953125,-0.10556802153587341,-1.3751507997512817,1.3547204732894897,1600.815584176889,0.9981604218482971,00-0033095,Garrett Griffin
z_mu[49],1.2996853590011597,0.4532594680786133,1.2915866374969482,0.5427699089050293,2.02459979057312,2357.003886334205,0.9981851577758789,00-0033110,Tyler Higbee
z_mu[50],-0.6760033965110779,0.7836397290229797,-0.7110729217529297,-2.157759666442871,0.4610106348991394,2464.410509917315,0.9984970688819885,00-0033112,Temarrick Hemingway
z_mu[51],-0.3065251410007477,0.32925945520401,-0.3273235857486725,-0.7902421355247498,0.25817006826400757,1608.6632716085078,0.9989414811134338,00-0033217,Mo Alie-Cox
z_mu[52],-0.1963343620300293,0.2897966504096985,-0.20368632674217224,-0.7078417539596558,0.20468410849571228,1398.5065889529023,0.9993008375167847,00-0033246,Johnny Mundt
z_mu[53],-0.6298172473907471,0.54133540391922,-0.651944100856781,-1.4981545209884644,0.329315185546875,1883.0412652324517,0.9994432330131531,00-0033258,Darrell Daniels
z_mu[54],2.767592668533325,0.5939353108406067,2.737842321395874,1.8573269844055176,3.831695079803467,2388.191740543141,0.9988952875137329,00-0033288,George Kittle
z_mu[55],-0.5431897044181824,0.4600301682949066,-0.5565475225448608,-1.232825517654419,0.22751501202583313,1800.1488489289216,0.9985078573226929,00-0033338,Cethan Carter
z_mu[56],2.314403533935547,0.667312502861023,2.30692720413208,1.177838683128357,3.375431776046753,2163.8266613379337,0.9996166825294495,00-0033357,Taysom Hill
z_mu[57],-0.041852738708257675,0.572955310344696,-0.042775265872478485,-0.992404043674469,0.8908589482307434,2185.5578042173042,0.9998724460601807,00-0033387,Jacob Hollister
z_mu[58],0.018445074558258057,0.7378333806991577,-0.011245107278227806,-1.1901097297668457,1.2278354167938232,1851.7648659002036,0.9989039897918701,00-0033421,Antony Auclair
z_mu[59],-0.5146003365516663,0.31267380714416504,-0.5080932378768921,-1.0989413261413574,-0.08182050287723541,1558.4977163143703,0.9981352686882019,00-0033439,Pharaoh Brown
z_mu[60],-0.40515226125717163,0.36506253480911255,-0.39327359199523926,-1.0061888694763184,0.17305517196655273,1300.2242302368186,0.9997984766960144,00-0033455,Anthony Firkser
z_mu[61],-0.5321430563926697,0.6253771781921387,-0.5318014621734619,-1.5731438398361206,0.4683718681335449,2356.4752026058163,0.9985649585723877,00-0033528,Jeremy Sprinkle
z_mu[62],-0.8947808742523193,0.8039568066596985,-0.9291712045669556,-2.1381313800811768,0.42280837893486023,1202.232086600931,1.001718282699585,00-0033564,Jake Butt
z_mu[63],-0.4918506145477295,0.3460623025894165,-0.4888690710067749,-1.032037377357483,0.08498787879943848,2127.6365918749134,0.9985499978065491,00-0033576,Eric Saubert
