
                     mean       std    median      5.0%     95.0%     n_eff     r_hat
      z_mu[111]     -0.29      0.49     -0.28     -1.09      0.49   2028.81      1.00
      z_mu[112]     -0.30      0.42     -0.29     -0.94      0.43   1475.10      1.00
      z_mu[113]     -0.69      0.51     -0.68     -1.47      0.21   1978.69      1.00
      z_mu[114]     -0.70      0.91     -0.71     -2.11      0.81   2724.64      1.00
      z_mu[115]      0.41      0.79      0.41     -0.84      1.73   2185.30      1.00
      z_mu[116]     -0.69      0.62     -0.67     -1.68      0.26   2267.51      1.00
      z_mu[117]      0.03      0.58      0.05     -0.87      0.95   3281.60      1.00
      z_mu[118]     -0.76      0.81     -0.73     -2.11      0.57   2737.84      1.00
      z_mu[119]      0.11      0.44      0.12     -0.56      0.85   1307.22      1.00
      z_mu[120]     -0.88      0.51     -0.89     -1.74     -0.08   1882.10      1.00
      z_mu[121]     -1.25      0.53     -1.24     -2.07     -0.35   1643.22      1.00
      z_mu[122]     -0.87      0.82     -0.89     -2.17      0.53   2652.30      1.00
      z_mu[123]     -1.00      0.63     -1.00     -2.06     -0.02   3154.97      1.00
      z_mu[124]      0.26      0.37      0.26     -0.33      0.87   1271.15      1.00
      z_mu[125]     -0.11      0.49     -0.11     -0.94      0.63   2257.86      1.00
      z_mu[126]      0.73      0.38      0.71      0.11      1.35   1655.02      1.00
      z_mu[127]      0.72      0.57      0.74     -0.24      1.63   1584.43      1.00
      z_mu[128]     -0.17      0.62     -0.17     -1.26      0.75   2307.40      1.00
      z_mu[129]      0.35      0.88      0.34     -0.94      1.94   2487.56      1.00
      z_mu[130]      1.15      0.53      1.14      0.31      2.01   1655.55      1.00
      z_mu[131]      0.53      0.56      0.55     -0.38      1.42   2156.54      1.00
      z_mu[132]      1.42      0.57      1.43      0.61      2.44   1786.01      1.00
      z_mu[133]      0.10      0.74      0.10     -1.08      1.33   3181.29      1.00
      z_mu[134]      0.57      0.51      0.58     -0.24      1.45   2219.80      1.00
     z_sigma[0]      0.33      0.94      0.35     -1.06      2.09   2484.24      1.00
     z_sigma[1]     -0.10      0.98     -0.08     -1.65      1.52   1805.01      1.00
     z_sigma[2]      0.05      0.97      0.03     -1.45      1.69   1711.82      1.00
     z_sigma[3]     -0.30      0.97     -0.29     -1.64      1.44   3013.94      1.00
     z_sigma[4]     -0.24      1.06     -0.27     -2.15      1.26   1481.51      1.00
     z_sigma[5]     -0.02      1.02     -0.08     -1.56      1.74   2165.67      1.00
     z_sigma[6]     -0.07      0.94     -0.09     -1.59      1.47   3043.14      1.00
     z_sigma[7]      0.17      0.99      0.18     -1.51      1.79   2146.77      1.00
     z_sigma[8]      0.20      0.91      0.22     -1.13      1.75   2036.35      1.00
     z_sigma[9]      0.24      0.95      0.25     -1.39      1.72   2396.16      1.00
    z_sigma[10]     -0.16      0.98     -0.16     -1.66      1.57   2684.28      1.00
    z_sigma[11]      0.33      1.01      0.33     -1.42      1.93   1520.81      1.00
    z_sigma[12]     -0.44      0.92     -0.48     -1.97      1.08   2016.71      1.00
    z_sigma[13]     -0.20      0.94     -0.24     -1.79      1.29   1756.99      1.00
    z_sigma[14]     -0.24      1.03     -0.23     -1.94      1.43   2943.74      1.00
    z_sigma[15]      0.07      0.97      0.05     -1.42      1.73   2838.16      1.00
    z_sigma[16]      0.39      0.93      0.37     -1.09      1.90   1583.85      1.00
    z_sigma[17]     -0.19      0.96     -0.19     -1.65      1.49   2144.30      1.00
    z_sigma[18]      0.13      0.96      0.11     -1.36      1.80   2606.17      1.00
    z_sigma[19]     -0.01      0.94     -0.01     -1.63      1.50   1902.97      1.00
    z_sigma[20]     -0.04      1.00     -0.01     -1.70      1.59   1772.93      1.00
    z_sigma[21]     -0.53      0.94     -0.55     -2.06      1.03   1668.47      1.00
    z_sigma[22]      0.09      1.03      0.08     -1.50      1.82   3077.15      1.00
    z_sigma[23]      0.13      0.91      0.13     -1.21      1.74   1916.10      1.00
    z_sigma[24]     -0.07      1.03     -0.10     -1.74      1.69   2700.59      1.00
    z_sigma[25]     -0.16      1.01     -0.14     -1.70      1.63   4797.82      1.00
    z_sigma[26]      0.04      1.03      0.07     -1.51      1.90   3392.15      1.00
    z_sigma[27]      0.11      1.04      0.12     -1.42      2.02   2400.79      1.00
    z_sigma[28]     -0.06      1.09     -0.05     -1.77      1.80   2755.67      1.00
    z_sigma[29]     -0.39      0.94     -0.40     -1.81      1.28   2292.91      1.00
    z_sigma[30]     -0.20      1.03     -0.21     -1.73      1.51   2143.57      1.00
