parameter,mean,std,median,5.0%,95.0%,n_eff,r_hat,player_id,player_name
z_mu[246],1.8355979919433594,0.7068585157394409,1.7992541790008545,0.7938417792320251,3.0740604400634766,2333.289628326176,0.9982025027275085,00-0039040,De'Von Achane
z_mu[247],-0.9779703617095947,0.6671563982963562,-0.9964587688446045,-1.9880985021591187,0.24714094400405884,1685.4013506527465,1.0003323554992676,00-0039136,Zach Evans
z_mu[248],2.9467151165008545,0.561533510684967,2.955496311187744,1.9592992067337036,3.7900233268737793,2252.7966456630056,0.9994614124298096,00-0039139,Jahmyr Gibbs
z_mu[249],0.5598319172859192,0.46833541989326477,0.5658940672874451,-0.2629585564136505,1.2606345415115356,2186.5860557803053,0.9983634352684021,00-0039165,Zach Charbonnet
z_mu[250],-0.5995248556137085,0.8120171427726746,-0.6099621057510376,-1.8451415300369263,0.9008504748344421,2092.0185790528803,0.9984779357910156,00-0039244,Chris Collier
z_mu[251],-0.539834201335907,0.8398725986480713,-0.5570290684700012,-1.7469675540924072,0.9836304783821106,2123.4156130824217,0.9982038140296936,00-0039299,George Holani
z_mu[252],-1.0929603576660156,0.5440282821655273,-1.113668441772461,-2.0495007038116455,-0.30076077580451965,2207.425154232263,0.9986596703529358,00-0039325,Carson Steele
z_mu[253],-0.24701106548309326,0.8715808391571045,-0.25889480113983154,-1.773866057395935,1.1252150535583496,2352.903145422037,0.9983137845993042,00-0039344,Jonathon Brooks
z_mu[254],1.9153081178665161,0.6682436466217041,1.9148606061935425,0.8379642367362976,2.971795082092285,2260.438183042517,0.9987155199050903,00-0039361,Bucky Irving
z_mu[255],0.3455476760864258,0.6598083972930908,0.34234553575515747,-0.6888455748558044,1.4750077724456787,1935.2666677292782,0.9981210231781006,00-0039363,Isaac Guerendo
z_mu[256],-0.3046708405017853,0.6589841246604919,-0.3206111192703247,-1.3167859315872192,0.7546098828315735,2000.7511828408994,0.9989492297172546,00-0039364,Sione Vaki
z_mu[257],-0.16218076646327972,0.4694250524044037,-0.15602615475654602,-0.9681079983711243,0.5554385781288147,2554.759192024204,0.9986091256141663,00-0039373,Audric Estime
z_mu[258],0.7618793249130249,0.5999820828437805,0.750396728515625,-0.21649664640426636,1.684411644935608,1548.7937960712752,0.9982917904853821,00-0039384,Tyrone Tracy
z_mu[259],-0.5059876441955566,0.5241430997848511,-0.5180819034576416,-1.3936772346496582,0.33839550614356995,2540.720511642371,0.998488187789917,00-0039391,Kimani Vidal
z_mu[260],-0.623650074005127,0.8717373013496399,-0.6372746229171753,-2.1526288986206055,0.6859712600708008,2649.2113476235286,0.9993991851806641,00-0039393,Jase McClellan
z_mu[261],-0.5239730477333069,0.9988921284675598,-0.5417649745941162,-2.1832222938537598,1.0155386924743652,3265.5523172825883,1.0001468658447266,00-0039407,Dylan Laube
z_mu[262],-0.30759716033935547,0.8974475264549255,-0.3014354109764099,-1.812943696975708,1.1063252687454224,1769.6532430705222,0.9987257122993469,00-0039573,Blake Watson
